train/global_step,[paper]GEPO_diff32 - _step,[paper]GEPO_diff32 - _step__MIN,[paper]GEPO_diff32 - _step__MAX,[paper]GEPO_diff32 - eval/rewards/accuracy_reward_lv35/mean,[paper]GEPO_diff32 - eval/rewards/accuracy_reward_lv35/mean__MIN,[paper]GEPO_diff32 - eval/rewards/accuracy_reward_lv35/mean__MAX,[paper]GRPO_diff32 - _step,[paper]GRPO_diff32 - _step__MIN,[paper]GRPO_diff32 - _step__MAX,[paper]GRPO_diff32 - eval/rewards/accuracy_reward_lv35/mean,[paper]GRPO_diff32 - eval/rewards/accuracy_reward_lv35/mean__MIN,[paper]GRPO_diff32 - eval/rewards/accuracy_reward_lv35/mean__MAX,[paper]GSPO_diff32 - _step,[paper]GSPO_diff32 - _step__MIN,[paper]GSPO_diff32 - _step__MAX,[paper]GSPO_diff32 - eval/rewards/accuracy_reward_lv35/mean,[paper]GSPO_diff32 - eval/rewards/accuracy_reward_lv35/mean__MIN,[paper]GSPO_diff32 - eval/rewards/accuracy_reward_lv35/mean__MAX
0,0,0,0,0.428125,0.428125,0.428125,0,0,0,0.428125,0.428125,0.428125,0,0,0,0.428125,0.428125,0.428125
64,2616,2616,2616,0.455625,0.455625,0.455625,2616,2616,2616,0.463125,0.463125,0.463125,2616,2616,2616,0.479375,0.479375,0.479375
128,5233,5233,5233,0.54,0.54,0.54,5233,5233,5233,0.5325,0.5325,0.5325,5233,5233,5233,0.565,0.565,0.565
192,7850,7850,7850,0.60375,0.60375,0.60375,7850,7850,7850,0.61875,0.61875,0.61875,7850,7850,7850,0.63,0.63,0.63
256,10467,10467,10467,0.659375,0.659375,0.659375,10467,10467,10467,0.660625,0.660625,0.660625,10467,10467,10467,0.66375,0.66375,0.66375
320,13084,13084,13084,0.674375,0.674375,0.674375,13084,13084,13084,0.701875,0.701875,0.701875,13084,13084,13084,0.685,0.685,0.685
384,15701,15701,15701,0.700625,0.700625,0.700625,15701,15701,15701,0.689375,0.689375,0.689375,15701,15701,15701,0.688125,0.688125,0.688125
448,18318,18318,18318,0.691875,0.691875,0.691875,18318,18318,18318,0.700625,0.700625,0.700625,18318,18318,18318,0.699375,0.699375,0.699375
512,20935,20935,20935,0.706875,0.706875,0.706875,20935,20935,20935,0.70375,0.70375,0.70375,20935,20935,20935,0.70375,0.70375,0.70375
576,23552,23552,23552,0.695,0.695,0.695,23552,23552,23552,0.6975,0.6975,0.6975,23552,23552,23552,0.686875,0.686875,0.686875
640,26169,26169,26169,0.69,0.69,0.69,26169,26169,26169,0.696875,0.696875,0.696875,26169,26169,26169,0.629375,0.629375,0.629375
704,28786,28786,28786,0.693125,0.693125,0.693125,28786,28786,28786,0.674375,0.674375,0.674375,28786,28786,28786,0.47125,0.47125,0.47125
768,31403,31403,31403,0.616875,0.616875,0.616875,31403,31403,31403,0.661875,0.661875,0.661875,31403,31403,31403,0.225625,0.225625,0.225625
832,34020,34020,34020,0.515625,0.515625,0.515625,34020,34020,34020,0.604375,0.604375,0.604375,34020,34020,34020,0.419375,0.419375,0.419375
896,36637,36637,36637,0.62,0.62,0.62,36637,36637,36637,0.35,0.35,0.35,36637,36637,36637,0.6125,0.6125,0.6125
960,39254,39254,39254,0.65875,0.65875,0.65875,39254,39254,39254,0.27375,0.27375,0.27375,39254,39254,39254,0.6975,0.6975,0.6975
1024,41871,41871,41871,0.714375,0.714375,0.714375,,,,,,,41871,41871,41871,0.718125,0.718125,0.718125
1088,44488,44488,44488,0.748125,0.748125,0.748125,,,,,,,44488,44488,44488,0.515625,0.515625,0.515625
1152,47105,47105,47105,0.751875,0.751875,0.751875,,,,,,,47105,47105,47105,0.590625,0.590625,0.590625
1216,49722,49722,49722,0.740625,0.740625,0.740625,,,,,,,49722,49722,49722,0.57375,0.57375,0.57375
1280,52339,52339,52339,0.74375,0.74375,0.74375,,,,,,,52339,52339,52339,0.5875,0.5875,0.5875
