train/global_step,[paper]GEPO_diff4 - _step,[paper]GEPO_diff4 - _step__MIN,[paper]GEPO_diff4 - _step__MAX,[paper]GEPO_diff4 - eval/rewards/accuracy_reward_lv35/mean,[paper]GEPO_diff4 - eval/rewards/accuracy_reward_lv35/mean__MIN,[paper]GEPO_diff4 - eval/rewards/accuracy_reward_lv35/mean__MAX,[paper]GEPO_diff32 - _step,[paper]GEPO_diff32 - _step__MIN,[paper]GEPO_diff32 - _step__MAX,[paper]GEPO_diff32 - eval/rewards/accuracy_reward_lv35/mean,[paper]GEPO_diff32 - eval/rewards/accuracy_reward_lv35/mean__MIN,[paper]GEPO_diff32 - eval/rewards/accuracy_reward_lv35/mean__MAX
0,,,,0.42812,0.42812,0.42812,,,,0.42812,0.42812,0.42812
64,2616,2616,2616,0.4825,0.4825,0.4825,2616,2616,2616,0.455625,0.455625,0.455625
128,5233,5233,5233,0.601875,0.601875,0.601875,5233,5233,5233,0.54,0.54,0.54
192,7850,7850,7850,0.663125,0.663125,0.663125,7850,7850,7850,0.60375,0.60375,0.60375
256,10467,10467,10467,0.690625,0.690625,0.690625,10467,10467,10467,0.659375,0.659375,0.659375
320,13084,13084,13084,0.69375,0.69375,0.69375,13084,13084,13084,0.674375,0.674375,0.674375
384,15701,15701,15701,0.71625,0.71625,0.71625,15701,15701,15701,0.700625,0.700625,0.700625
448,18318,18318,18318,0.716875,0.716875,0.716875,18318,18318,18318,0.691875,0.691875,0.691875
512,20935,20935,20935,0.730625,0.730625,0.730625,20935,20935,20935,0.706875,0.706875,0.706875
576,23552,23552,23552,0.71875,0.71875,0.71875,23552,23552,23552,0.695,0.695,0.695
640,26169,26169,26169,0.72875,0.72875,0.72875,26169,26169,26169,0.69,0.69,0.69
704,28786,28786,28786,0.7125,0.7125,0.7125,28786,28786,28786,0.693125,0.693125,0.693125
768,31403,31403,31403,0.723125,0.723125,0.723125,31403,31403,31403,0.616875,0.616875,0.616875
832,34020,34020,34020,0.73375,0.73375,0.73375,34020,34020,34020,0.515625,0.515625,0.515625
896,36637,36637,36637,0.743125,0.743125,0.743125,36637,36637,36637,0.62,0.62,0.62
960,39254,39254,39254,0.745625,0.745625,0.745625,39254,39254,39254,0.65875,0.65875,0.65875
1024,41871,41871,41871,0.755,0.755,0.755,41871,41871,41871,0.714375,0.714375,0.714375
1088,44488,44488,44488,0.7575,0.7575,0.7575,44488,44488,44488,0.748125,0.748125,0.748125
1152,47105,47105,47105,0.749375,0.749375,0.749375,47105,47105,47105,0.751875,0.751875,0.751875
1216,49722,49722,49722,0.756875,0.756875,0.756875,49722,49722,49722,0.740625,0.740625,0.740625
1280,,,,,,,52339,52339,52339,0.74375,0.74375,0.74375
